Account,Coin,position_closed,pnl,fee,entry_time,exit_time,sentiment,net_pnl,duration,is_win,date
0x083384f897ee0f19899168e3b1bec365f52a9012,ETH,0,648039.4316770185,947.287553,2024-10-27 03:33:20,2024-10-27 03:33:20,Greed,647092.1441240185,0 days 00:00:00,True,2024-10-27
0x083384f897ee0f19899168e3b1bec365f52a9012,ETH,1,104693.66521739133,415.11242899999996,2025-02-19 21:20:00,2025-02-19 21:20:00,Fear,104278.55278839133,0 days 00:00:00,True,2025-02-19
0x083384f897ee0f19899168e3b1bec365f52a9012,ETH,2,4110.0,92.923496,2025-02-19 21:20:00,2025-02-19 21:20:00,Fear,4017.076504,0 days 00:00:00,True,2025-02-19
0x083384f897ee0f19899168e3b1bec365f52a9012,ETH,3,-2581712.7272727275,339.698077,2025-02-19 21:20:00,2025-02-19 21:20:00,Fear,-2582052.4253497277,0 days 00:00:00,False,2025-02-19
0x083384f897ee0f19899168e3b1bec365f52a9012,ETH,4,866023.8461538462,344.730429,2025-02-19 21:20:00,2025-02-19 21:20:00,Fear,865679.1157248463,0 days 00:00:00,True,2025-02-19
0x083384f897ee0f19899168e3b1bec365f52a9012,ETH,5,23141.111111111008,322.288251,2025-02-19 21:20:00,2025-02-19 21:20:00,Fear,22818.822860111006,0 days 00:00:00,True,2025-02-19
0x083384f897ee0f19899168e3b1bec365f52a9012,ETH,6,1761174.386796434,3895.3291209999998,2025-02-19 21:20:00,2025-02-19 21:20:00,Fear,1757279.057675434,0 days 00:00:00,True,2025-02-19
0x083384f897ee0f19899168e3b1bec365f52a9012,SOL,0,233814.555,37.023618,2024-10-27 03:33:20,2024-10-27 03:33:20,Greed,233777.531382,0 days 00:00:00,True,2024-10-27
0x083384f897ee0f19899168e3b1bec365f52a9012,SOL,1,1280.000000000029,104.62249,2024-10-27 03:33:20,2024-10-27 03:33:20,Greed,1175.3775100000291,0 days 00:00:00,True,2024-10-27
0x083384f897ee0f19899168e3b1bec365f52a9012,SOL,2,1816544.0977897416,842.431017,2024-10-27 03:33:20,2025-02-19 21:20:00,Greed,1815701.6667727416,115 days 17:46:40,True,2024-10-27
0x083384f897ee0f19899168e3b1bec365f52a9012,SOL,3,-1277317.8792,63.865823,2025-02-19 21:20:00,2025-02-19 21:20:00,Fear,-1277381.745023,0 days 00:00:00,False,2025-02-19
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,BERA,0,-2064.5714285714284,25.697567,2025-02-19 21:20:00,2025-02-19 21:20:00,Fear,-2090.2689955714286,0 days 00:00:00,False,2025-02-19
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,BERA,1,1875.65,0.656281,2025-02-19 21:20:00,2025-02-19 21:20:00,Fear,1874.993719,0 days 00:00:00,True,2025-02-19
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,BTC,0,3456.593,0.34565700000000005,2025-06-15 15:06:40,2025-06-15 15:06:40,,3456.247343,0 days 00:00:00,True,2025-06-15
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,BTC,1,-3449.215,0.34492100000000003,2025-06-15 15:06:40,2025-06-15 15:06:40,,-3449.559921,0 days 00:00:00,False,2025-06-15
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,ETH,0,-15903.25,113.606937,2024-10-27 03:33:20,2024-10-27 03:33:20,Greed,-16016.856937,0 days 00:00:00,False,2024-10-27
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,ETH,1,-140878.83333333334,61.313157000000004,2024-10-27 03:33:20,2025-02-19 21:20:00,Greed,-140940.14649033334,115 days 17:46:40,False,2024-10-27
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,ETH,2,966.25,110.620148,2025-02-19 21:20:00,2025-02-19 21:20:00,Fear,855.629852,0 days 00:00:00,True,2025-02-19
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,ETH,3,154358.9728846154,203.454855,2025-02-19 21:20:00,2025-02-19 21:20:00,Fear,154155.5180296154,0 days 00:00:00,True,2025-02-19
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,ETH,4,-86492.5,18.862612,2025-02-19 21:20:00,2025-06-15 15:06:40,Fear,-86511.362612,115 days 17:46:40,False,2025-02-19
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,ETH,5,125791.0,20.69295,2025-06-15 15:06:40,2025-06-15 15:06:40,,125770.30705,0 days 00:00:00,True,2025-06-15
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,ETH,6,-212497.0,61.047906,2025-06-15 15:06:40,2025-06-15 15:06:40,,-212558.047906,0 days 00:00:00,False,2025-06-15
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,ETH,7,177200.0,17.72,2025-06-15 15:06:40,2025-06-15 15:06:40,,177182.28,0 days 00:00:00,True,2025-06-15
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,FARTCOIN,0,11588.324685714286,1.8965529999999997,2025-06-15 15:06:40,2025-06-15 15:06:40,,11586.428132714285,0 days 00:00:00,True,2025-06-15
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,FARTCOIN,1,-27999.385152,5.631827,2025-06-15 15:06:40,2025-06-15 15:06:40,,-28005.016979,0 days 00:00:00,False,2025-06-15
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,FARTCOIN,2,15044.947500000002,9.499292,2025-06-15 15:06:40,2025-06-15 15:06:40,,15035.448208000002,0 days 00:00:00,True,2025-06-15
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,HYPE,0,1659.309166666667,5.063972,2025-02-19 21:20:00,2025-02-19 21:20:00,Fear,1654.245194666667,0 days 00:00:00,True,2025-02-19
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,HYPE,1,375.00750000000176,39.260269,2025-02-19 21:20:00,2025-02-19 21:20:00,Fear,335.74723100000176,0 days 00:00:00,True,2025-02-19
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,HYPE,2,5366.283333333334,31.379403,2025-02-19 21:20:00,2025-02-19 21:20:00,Fear,5334.903930333334,0 days 00:00:00,True,2025-02-19
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,HYPE,3,-4910.853333333334,22.07363,2025-02-19 21:20:00,2025-06-15 15:06:40,Fear,-4932.926963333334,115 days 17:46:40,False,2025-02-19
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,HYPE,4,75680.27296666667,64.649633,2025-06-15 15:06:40,2025-06-15 15:06:40,,75615.62333366668,0 days 00:00:00,True,2025-06-15
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,HYPE,5,-208969.05127372628,86.238347,2025-06-15 15:06:40,2025-06-15 15:06:40,,-209055.28962072628,0 days 00:00:00,False,2025-06-15
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,HYPE,6,77650.0,19.044963,2025-06-15 15:06:40,2025-06-15 15:06:40,,77630.955037,0 days 00:00:00,True,2025-06-15
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,HYPE,7,20994.296673177756,64.473291,2025-06-15 15:06:40,2025-06-15 15:06:40,,20929.823382177758,0 days 00:00:00,True,2025-06-15
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,HYPE,8,113204.47682735043,47.288457,2025-06-15 15:06:40,2025-06-15 15:06:40,,113157.18837035043,0 days 00:00:00,True,2025-06-15
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,HYPE,9,-75594.66666666667,26.459358,2025-06-15 15:06:40,2025-06-15 15:06:40,,-75621.12602466666,0 days 00:00:00,False,2025-06-15
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,PENDLE,0,-16650.0,1.665,2025-06-15 15:06:40,2025-06-15 15:06:40,,-16651.665,0 days 00:00:00,False,2025-06-15
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,PENDLE,1,15676.390478041956,18.250598,2025-06-15 15:06:40,2025-06-15 15:06:40,,15658.139880041956,0 days 00:00:00,True,2025-06-15
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,POPCAT,0,51250.0,5.1249970000000005,2025-06-15 15:06:40,2025-06-15 15:06:40,,51244.875003,0 days 00:00:00,True,2025-06-15
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,POPCAT,1,-52500.0,5.25,2025-06-15 15:06:40,2025-06-15 15:06:40,,-52505.25,0 days 00:00:00,False,2025-06-15
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,TAO,0,34042.333333333336,11.913034,2025-06-15 15:06:40,2025-06-15 15:06:40,,34030.42029933334,0 days 00:00:00,True,2025-06-15
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,TAO,1,-100472.708,16.812698,2025-06-15 15:06:40,2025-06-15 15:06:40,,-100489.520698,0 days 00:00:00,False,2025-06-15
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,TAO,2,153725.1081232493,29.806129000000002,2025-06-15 15:06:40,2025-06-15 15:06:40,,153695.30199424928,0 days 00:00:00,True,2025-06-15
